ויתקין שורשים א'
ויתקין שורשים ב'
ויתקין שורשים ג'
נטופה פורט וינטאג'
מדבר אורנג'
ויתקין שורשים ה'
טפרברג אינספייר דבוטאז'
ברקן ספיישל רזרב פינוטאז'
ברקן רזרב פינוטאז'
אייל פינוטאז'
ברקן קלאסיק פינוטאז'
ברקן סופריור פינוטאז'
טפרברג אינספייר דסטיטאז'
טפרברג אינספייר פמיטאז'
טפרברג רזרב מריטאז'
טפרברג אינספייר מריטאז'
כרמי יוסף ברבדו קופאז'
מונד רוז'
אבידן פרינג' פְּרִיוֹ
הנס שטרנבך לה ג'נבא
כרם תשע ינוקא
יתיר הר עמשא
ססלוב קדיתא
דוכתא דוכתא
גיזו מרלו ט''ו באב
פסגות מואב
גלאי נגב
סומק בקעת הנדיב
הנס שטרנבך ג'נבא רזרב
יעקב אוריה חלומות באספמיא רזרב
קדמא רזרב
אסף מויסה גראנד רזרב
נעמן מלך ארגמן גרנד רזרב
בנימינה רוזה רזרב
אסף שיראז קיסריה רזרב
בזלת הגולן שרדונה רזרב
חבל יהודה מצפה רזרב
יהודה אורי מרלו רזרב
נחמני מיקה שיראז רזרב
ספיישל רזרב
אייל אלמה ספיישל רזרב
תשבי יונתן תשבי ספיישל רזרב
רקנאטי ספיישל רזרב
מרגלית ספיישל רזרב
בנימינה רוסאן כתום רזרב
גבעות גופנה קברנה סוביניון רזרב
קורן רזרב
רות רזרב
שאטו גולן עוג
סריג
גוש עציון האלון הבודד ריזלינג
ציון דולב אמרלד ריזלינג
ברקן רזרב אמרלד ריזלינג
טפרברג טרה אמרלד ריזלינג
ברקן קלאסיק אמרלד ריזלינג
דור אמרלד ריזלינג
כרמל כרם קאיומי ריזלינג
ספרה קונספט לבן ריזלינג
ויתקין ריזלינג
טפרברג סילבר בציר מאוחר ריזלינג
ירושלים קולומברד אמרלד ריזילנג
ציון דולב מוסקט המבורג
כרם תשע אבישג
מרום אריאל היקב האקדמי דוד
ברקן אלטיטיוד
טריו הסוד
חרשים ירח ורוד
ברקן רזרב מוסקט ורוד
ויתקין מסע ישראלי ורוד
הנס שטרנבך נחל חכליל ורוד
שאטו גולן גשם ורוד
חרשים ווילד
שילה לג'נד
רקנאטי פרנץ' בלנד
נחמני שירה רזרב בלנד
מונד בלנד
אמפורה מקורה בלנד
צ'ילאג ויוו בלנד
צ'ילאג פרימו בלנד
טורא מאונטן ויסטה הרטלנד
שאטו גולן אליעד
מאיה מארה רד
מוני קולומבארד
תשבי אסטייט רובי קברנה סינגל ויניארד
מוני קולומברד
כרם ברק פרנץ׳ קולומברד
אסיף חבלי ארץ אוונגרד
חרשים בלאק בירד
ננה קאסיופיאה
טפרברג רזרב בלנד עיצוב תווית זוהר ליבה
ריאל אימפריאל קאווה רזרבה
יעקב אוריה אלפא אומגה
צרעה הרי יהודה
צובה מצודה
גבעות מצדה
קיווי קווה
טריו ספיישל קווה
רמת הגולן גמלא סנג'ובזה
טפרברג סילבר סנג'ובזה
אליגוטה סנג׳ובזה
יפו סובאז' רוזה
לוריא רוזה
ברקן ספיישל רזרב רוזה
סריג רוזה
טפרברג טפרברג רוזה
ז׳אק קפסוטו קוט דה גליליי קווה אווה רוזה
מאור גבעת אורחה רוזה
